 /*
 /*          2000  particles ejected randomly from planet #            5
 /*      at velocity    4.00000000000000       km/sec
 /*      using random number seed =           -1
 /*
 /*          a, AU                 e              i ,degrees
 /*
  1.4581123    0.2227357    10.82857    
  2.6387803    0.5463009    11.56486    
  2.4764877    0.5691159    9.38453    
  2.6641454    0.5332347    26.68762    
  1.9194158    0.4353207    11.87658    
  1.0780946    0.8269278    22.82647    
  2.1967298    0.4875957    52.09825    
  1.2453023    0.3354405    13.33737    
  1.8634815    0.3966132    8.45037    
  1.3674320    0.4360614    9.38341    
  1.4700451    0.5598234    6.35515    
  2.2587327    0.6065678    18.40014    
  1.4610884    0.6143762    22.20873    
  1.0800484    0.4668656    16.09631    
  1.8939716    0.5380640    41.20143    
  2.5433373    0.5704939    20.40377    
  2.2731064    0.4494497    12.87721    
  2.1488130    0.5056044    23.96212    
  1.4304573    0.2560008    8.70642    
  1.7095210    0.3647444    26.86960    
  1.7765995    0.6503534    39.82690    
  2.6442806    0.5308369    11.01359    
  2.2648661    0.5354830    3.79826    
  0.9667379    0.1827762    18.93371    
  1.0778853    0.3494748    9.43223    
  0.8320302    0.4364984    15.75341    
  1.8742301    0.7644229    1.32368    
  1.2900998    0.2991815    64.00690    
  1.5995500    0.5030204    23.06062    
  2.1742902    0.7129028    2.52241    
  2.2894521    0.5130489    8.74486    
  2.1596715    0.8377087    11.55312    
  2.4097534    0.6537649    24.45902    
  0.8438986    0.4499515    5.85594    
  2.1047767    0.4133758    5.22352    
  2.5156896    0.5713306    14.67776    
  2.1511713    0.4493282    8.44146    
  1.4041853    0.3542356    20.92914    
  1.7688895    0.4230601    22.14241    
  1.5744592    0.2841461    32.96164    
  1.2713728    0.8898977    22.26030    
  2.1014356    0.3957751    25.06875    
  2.0331920    0.4560587    5.93032    
  1.8788618    0.3692076    4.77328    
  2.4655060    0.7459796    21.16191    
  1.2102930    0.3229270    2.67754    
  0.9895376    0.4685156    9.91681    
  2.0930615    0.4870367    9.50796    
  4.2589272    0.7088440    31.08110    
  1.6447042    0.3200572    36.77174    
  0.9736979    0.2804109    23.36011    
  2.1986162    0.5415436    13.53442    
  1.7744465    0.2841527    20.35731    
  1.4135049    0.3017241    55.55699    
  0.9976941    0.5148077    19.80562    
  1.8346573    0.4460810    3.86801    
  1.5049464    0.7024660    29.20887    
  1.9270847    0.4594763    2.18592    
  1.5444540    0.3165509    10.76790    
  2.6266115    0.6308640    2.79828    
  1.0597264    0.4441601    11.16926    
  1.8202878    0.3261788    23.25240    
  2.5432283    0.6260903    0.44780    
  1.9827187    0.6342867    6.70421    
  2.2958302    0.7718413    12.57877    
  1.6470206    0.4684630    40.71361    
  1.8351440    0.6794886    11.85122    
  2.5803180    0.5647182    26.64870    
  1.4422687    0.5866778    5.52027    
  2.1996809    0.6630227    3.03978    
  1.7305240    0.2964022    16.40428    
  2.7047562    0.5237084    2.51276    
  1.0420996    0.2501432    14.14526    
  1.0221860    0.3571300    4.91904    
  2.2390517    0.5199521    37.07470    
  1.4887634    0.3601765    1.43200    
  2.2354059    0.5162118    6.37880    
  1.0631647    0.4832835    8.88435    
  1.3699729    0.1684850    15.65257    
  1.6213410    0.6573862    24.39132    
  2.0011603    0.4494349    17.42802    
  1.5654455    0.2189360    35.01197    
  1.6355713    0.5000754    7.40690    
  1.4860928    0.5692782    36.42960    
  1.8336266    0.7721005    9.02899    
  1.5523307    0.4783626    3.57803    
  2.9861841    0.6045768    19.60039    
  2.1634506    0.4565098    25.47085    
  3.3260431    0.6361869    19.13755    
  0.9474527    0.2963224    48.96902    
  2.4347700    0.6359521    68.01847    
  2.3965002    0.5447868    18.09714    
  0.9855979    0.2794867    14.18624    
  0.9287449    0.4060398    4.71336    
  2.1592378    0.4224666    7.87155    
  2.1948091    0.4543446    3.84825    
  1.3549030    0.3875379    13.50654    
  2.1437466    0.4356605    7.90500    
  1.7942940    0.3042208    6.87317    
  1.7856929    0.7621169    38.11449    
  1.2709625    0.5851097    5.05467    
  2.2633230    0.6533444    11.42359    
  2.1031802    0.4234194    16.07081    
  1.0815155    0.8267513    23.22443    
  1.8937646    0.4441456    4.18777    
  1.6978522    0.6951586    30.12468    
  2.4393190    0.5368383    7.95012    
  2.2216932    0.5059906    19.49250    
  1.8126774    0.3210313    17.92770    
  1.6246648    0.2891224    21.57297    
  1.2712274    0.4998083    3.49924    
  1.4544006    0.3522192    23.47109    
  2.2014924    0.4372810    6.40584    
  2.1466304    0.5288835    21.57815    
  2.2125605    0.7662248    4.91886    
  2.8216522    0.5816637    4.30560    
  1.1513612    0.4127379    3.94247    
  2.2406775    0.5725541    37.34289    
  2.1929535    0.4091811    8.22346    
  2.4842737    0.6130239    2.26690    
  2.4999240    0.5912183    5.94863    
  1.6261914    0.2207594    22.64016    
  1.6960097    0.4845541    8.69700    
  1.4757578    0.3150944    12.60694    
  1.9804158    0.3911923    8.30450    
  2.5352713    0.6976032    17.81052    
  2.7234117    0.5596810    16.33529    
  1.7705135    0.4842595    15.19566    
  2.3048593    0.4815435    7.19654    
  1.8414127    0.5067371    5.41718    
  1.3558800    0.3911208    7.26074    
  2.1984709    0.5020006    4.66201    
  1.5655899    0.2922715    7.08826    
  1.5676931    0.3170959    9.45294    
  1.3462401    0.3282387    33.48674    
  1.4678234    0.4815990    3.12295    
  1.1228935    0.1646987    37.11993    
  2.1650487    0.5186203    27.11762    
  2.4351158    0.6640250    26.08269    
  1.2614134    0.3462933    36.90901    
  2.2254044    0.4664929    25.16296    
  2.1993578    0.4319531    7.57063    
  1.7465692    0.4559207    1.86697    
  1.8299032    0.4092704    2.02438    
  1.3420344    0.4623442    28.30493    
  1.9864120    0.4181307    5.90653    
  1.5749129    0.6431205    39.60156    
  2.5372404    0.7069778    9.55364    
  1.6871026    0.5945859    14.58741    
  1.5063780    0.4303936    37.97292    
  2.0450908    0.4494110    8.45071    
  2.5283125    0.4894913    3.51611    
  1.5564715    0.3594421    16.08127    
  1.4962790    0.5957575    9.01145    
  2.7065120    0.5531832    7.84485    
  1.4237333    0.6074564    40.81917    
  2.5888651    0.5799714    35.98549    
  2.2430562    0.6259808    9.82557    
  2.4369619    0.5328725    14.59744    
  1.2484412    0.3248243    15.32074    
  1.9007360    0.6324952    4.54535    
  2.3744302    0.5438158    45.95950    
  1.2346949    0.5037714    23.89569    
  1.2721454    0.1364300    4.37816    
  1.0068801    0.2663156    63.46410    
  1.8838295    0.5137274    13.56396    
  2.5767619    0.5746440    4.15035    
  1.9785527    0.4475420    3.07695    
  1.3915794    0.3752742    36.87788    
  1.7399636    0.3375380    1.99293    
  2.1165516    0.5357528    25.49031    
  1.7208110    0.3889533    15.02467    
  1.4595342    0.3939015    22.86229    
  1.0796456    0.3557232    10.31053    
  1.7033126    0.4749436    19.41875    
  1.5416153    0.4059426    24.52819    
  1.1863501    0.2722036    38.48807    
  1.9619542    0.4918353    5.30331    
  2.1893355    0.4639282    5.87434    
  1.3354891    0.3057281    17.24796    
  1.7148784    0.4019022    11.41674    
  2.8404730    0.6662082    1.98078    
  1.7198045    0.2551257    14.42681    
  1.3246263    0.1181616    13.87225    
  2.8498583    0.5892305    4.53967    
  2.3095733    0.4677592    7.21066    
  2.2764917    0.4613547    24.97864    
  1.4424762    0.6039742    25.90924    
  1.4679854    0.4421685    15.99050    
  1.7511242    0.2727459    24.52088    
  2.2031501    0.8577824    17.54645    
  2.3717995    0.6730357    10.65175    
  1.3870664    0.5532181    9.27125    
  2.2167209    0.6365900    29.45017    
  2.7348472    0.5532238    5.56850    
  1.1900222    0.3588353    9.58245    
  2.4447987    0.5117415    4.21979    
  1.8808657    0.3677978    0.80794    
  2.4246390    0.5110326    17.83222    
  2.3535513    0.4878664    2.80544    
  1.6851258    0.2318134    36.81589    
  2.5018106    0.5627977    3.00443    
  2.2329192    0.4431157    1.32651    
  3.1847378    0.6230115    21.78091    
  2.0355619    0.5590960    6.50140    
  2.1527233    0.4906754    9.94569    
  1.5646228    0.4764134    6.98426    
  1.5559748    0.4641962    6.29982    
  1.8768066    0.4119818    33.94186    
  2.7404984    0.5610926    8.33300    
  2.4246604    0.6327101    31.86248    
  1.7064338    0.2386083    38.45851    
  2.3770729    0.5206798    20.95138    
  1.2693947    0.1205319    23.98197    
  1.1044063    0.2762359    9.84489    
  1.2189785    0.5699220    3.20411    
  1.5765152    0.5242426    11.40093    
  1.8242250    0.4010919    40.95832    
  1.8469771    0.5893142    51.30779    
  2.2931748    0.5161954    23.35561    
  1.7500668    0.3611045    14.36057    
  2.1280101    0.5168634    8.39821    
  2.3097546    0.8224736    25.77332    
  2.2120677    0.5452745    23.77717    
  1.9743361    0.4422418    14.64181    
  1.3348884    0.3059553    21.92216    
  1.3241427    0.2801451    1.62135    
  1.5403076    0.3708083    14.32848    
  2.5617029    0.4979981    15.74622    
  3.2994821    0.6453981    14.79518    
  2.1399290    0.4687957    5.37623    
  1.6056141    0.5765436    8.69138    
  1.5457027    0.4717181    13.53717    
  2.8515714    0.5579220    11.02010    
  2.8007782    0.5947094    3.49811    
  1.7440166    0.4332694    8.69611    
  2.1394420    0.4253256    5.35475    
  1.8754301    0.3987830    36.94163    
  1.6984081    0.5080217    12.16957    
  2.4375641    0.6810630    8.73882    
  1.5600805    0.6432964    36.21615    
  2.6038109    0.5025627    8.95818    
  1.7230891    0.2569957    20.22016    
  2.0155000    0.3913357    6.50306    
  2.0296833    0.4299052    5.96318    
  1.5976132    0.5479353    18.81421    
  2.1361730    0.5778587    9.54394    
  2.2462292    0.4414894    18.93275    
  0.7190560    0.4176079    7.36417    
  2.0694147    0.3873412    6.17490    
  1.1374533    0.1442545    13.91043    
  1.4427076    0.4839260    4.09884    
  2.5102513    0.5411877    13.09855    
  2.1240239    0.5956021    7.13638    
  1.5233153    0.3143765    5.54983    
  1.5512424    0.3323471    38.22371    
  1.3324981    0.4237547    58.04321    
  1.4836797    0.5538143    46.76442    
  2.2534964    0.4831993    36.66260    
  1.9094767    0.5199240    5.08055    
  1.4778446    0.7526515    18.01655    
  2.0904382    0.5066437    12.72747    
  1.4201463    0.5661950    23.67038    
  2.1698652    0.4010970    9.33302    
  2.0352470    0.5759978    9.44028    
  1.6419372    0.3342365    8.59827    
  2.0366301    0.4923343    10.02390    
  2.2502695    0.4678408    12.91334    
  1.4947635    0.1611224    25.84384    
  1.3386788    0.8083212    34.49025    
  2.2655904    0.4545988    2.52110    
  1.5927099    0.5553660    2.17304    
  1.5755872    0.2113492    15.10763    
  1.4195735    0.3917740    24.07296    
  1.9173040    0.4303566    5.02499    
  2.2099384    0.5498872    8.04558    
  1.2782298    0.1441097    7.72500    
  1.2821329    0.1896122    24.15192    
  1.5617920    0.2923918    10.98216    
  1.4271956    0.5250196    11.16573    
  2.4079361    0.6234549    2.42805    
  1.5546089    0.2242226    19.48319    
  2.4189539    0.6512472    33.88255    
  2.3802540    0.5724495    5.87713    
  1.6444047    0.2144919    40.63097    
  2.7259793    0.6414392    13.83472    
  2.1008120    0.6280719    10.87174    
  1.9231360    0.5385448    22.77736    
  2.0224990    0.6401766    26.79253    
  2.0984862    0.4038332    60.43006    
  2.3124641    0.4837385    15.37174    
  1.4954165    0.4196542    7.17522    
  1.3705956    0.2692088    40.78599    
  1.3292805    0.1974743    23.44231    
  1.7107474    0.2622604    18.95255    
  1.0059896    0.2299674    1.59948    
  1.4766670    0.2807541    46.69235    
  1.7766569    0.3419500    33.20318    
  1.6294870    0.2564944    35.36224    
  1.7762262    0.2870787    24.46287    
  1.0998282    0.2245174    30.38953    
  1.7944245    0.6956881    38.51539    
  1.6647498    0.3439620    10.94799    
  0.9147398    0.2645364    1.30257    
  1.4272860    0.3630534    11.14936    
  2.3976791    0.5552208    9.63512    
  1.3948444    0.2808790    2.79081    
  1.1537368    0.4740691    4.15407    
  1.6442679    0.3840205    3.40857    
  1.0911562    0.5396870    3.55992    
  2.9379351    0.6039907    9.55325    
  1.4261458    0.3625812    61.00575    
  0.9909490    0.7200289    22.67780    
  0.7871458    0.4837173    5.41479    
  1.5355701    0.1978781    11.27801    
  1.3338110    0.8379636    19.50298    
  1.5075014    0.1431860    51.31724    
  0.6421954    0.6887199    38.88259    
  0.8554931    0.5725043    9.06625    
  1.1984284    0.1200229    21.77224    
  2.5410914    0.5651854    20.60963    
  1.3085100    0.2128048    9.02460    
  1.3204717    0.5429334    10.66608    
  1.3010692    0.3460611    14.69216    
  1.3764733    0.1284503    15.17227    
  2.3328171    0.4575971    5.72105    
  1.3196473    0.3266661    17.99607    
  1.5096531    0.4273914    38.82293    
  1.4357846    0.1144311    2.62052    
  1.5072949    0.4165686    16.69518    
  0.9622097    0.3801262    17.12554    
  2.1542478    0.8418178    25.45083    
  1.6695938    0.2477007    29.56676    
  1.5173501    0.1742634    9.85765    
  1.6181907    0.4156422    8.10125    
  1.7067328    0.4364412    22.71774    
  1.0568138    0.3442377    25.15545    
  1.6552028    0.6238511    6.06703    
  2.2220966    0.7766331    3.12597    
  1.3740260    0.1846138    33.87855    
  1.2340113    0.3111112    12.80523    
  1.8899249    0.4418079    17.71772    
  3.7587859    0.6606113    2.57635    
  1.2975901    0.3562983    4.08243    
  1.5927421    0.3318916    13.03026    
  1.5800681    0.4860765    4.51479    
  1.6459654    0.3376340    24.83795    
  1.9234937    0.6392807    10.76427    
  0.9981066    0.3451951    33.17968    
  1.4030312    0.3288961    13.59060    
  1.7212611    0.3542070    27.66366    
  1.6565531    0.4164953    62.71725    
  1.6535907    0.2481972    9.32286    
  1.8301583    0.3021497    0.94398    
  1.8530490    0.4835891    9.14428    
  0.7387346    0.7030506    12.60482    
  0.8831206    0.6329128    17.05841    
  1.0081275    0.3111065    5.35912    
  1.7594575    0.5794373    7.12480    
  1.8168810    0.3239082    30.54579    
  1.9667493    0.4343002    34.60598    
  1.8445869    0.3624439    34.31177    
  0.9680757    0.4148224    18.10652    
  1.4630533    0.4271341    29.01083    
  0.8593510    0.5946277    14.28889    
  1.9956000    0.5058408    10.06066    
  1.4628948    0.5750986    14.38385    
  1.3418058    0.6186616    9.47941    
  1.1965486    0.1897245    14.43409    
  1.2266112    0.4835866    25.31814    
  0.8474753    0.4631349    34.74437    
  1.5902002    0.5122591    7.69209    
  0.8586679    0.6427401    19.22657    
  2.0075302    0.3917625    11.36781    
  0.9540092    0.5952749    17.81257    
  1.1823376    0.6296824    1.52212    
  2.0963880    0.4317878    38.82355    
  2.1477660    0.4522703    12.07254    
  1.0612860    0.2699807    21.90035    
  1.7235289    0.5638863    53.82705    
  1.3560837    0.2529262    1.90525    
  1.7869710    0.3082181    22.66685    
  2.0779267    0.5068143    43.63805    
  1.6415686    0.8864155    9.91395    
  1.7352484    0.5288348    42.33874    
  2.1340305    0.5762304    8.91528    
  1.4742368    0.3316035    27.99464    
  1.1555980    0.4263064    16.88259    
  1.6268841    0.2045909    9.87237    
  1.2346137    0.2801988    19.00465    
  1.6951634    0.4919228    7.83760    
  1.8205257    0.3074108    13.99571    
  1.4428829    0.6433673    6.65225    
  2.2970403    0.7785227    41.46582    
  0.9078677    0.3511787    13.60478    
  1.6990608    0.2594030    1.77154    
  2.0921406    0.7800691    34.94779    
  1.7984574    0.3087171    18.18964    
  1.0322864    0.2191541    4.80836    
  1.8665374    0.5073456    10.61338    
  1.4619105    0.2757280    7.55739    
  0.7283806    0.5947365    28.79962    
  1.6542335    0.6448302    12.76921    
  0.9225196    0.1914656    3.33688    
  2.6001030    0.7016497    16.33504    
  2.6527889    0.6185427    2.64131    
  2.2699044    0.5517114    11.52330    
  1.7828541    0.4076112    24.24348    
  1.6240580    0.6109153    4.76483    
  2.0297569    0.3930452    45.77254    
  1.1258996    0.2037196    6.03428    
  2.1325185    0.4669545    7.46302    
  1.8436727    0.5816841    38.54530    
  0.9143018    0.8169363    32.52839    
  1.4210102    0.1891400    14.82447    
  2.4248207    0.7637350    10.33199    
  2.1495768    0.6142779    14.32739    
  1.6034881    0.2710512    16.39627    
  1.2352773    0.3603951    20.92361    
  1.7535081    0.4395375    42.02666    
  2.2689086    0.4453271    58.75704    
  2.2204718    0.4924503    46.97931    
  1.6686896    0.3181874    31.31989    
  1.8651960    0.3947991    2.98558    
  1.3417395    0.0678305    10.49775    
  1.6376688    0.4170200    4.68135    
  1.5730584    0.3947869    1.43920    
  1.5734494    0.1748450    7.63777    
  2.3647024    0.4843646    17.78743    
  1.8388118    0.4513616    25.09818    
  1.5847962    0.1802138    22.09915    
  1.1470608    0.4652923    17.37393    
  1.7456961    0.4782863    11.00593    
  0.9375333    0.3463389    12.77913    
  1.4853178    0.3058468    8.16014    
  1.4915296    0.5782688    7.78974    
  2.2020692    0.8841442    21.16810    
  1.3634110    0.1247119    38.87666    
  1.7472531    0.6365029    10.99762    
  2.1345040    0.4412983    6.62543    
  2.3082698    0.5951287    24.48176    
  1.5956329    0.7633344    25.50052    
  2.2688615    0.4292277    4.38331    
  1.2479588    0.8096183    14.91432    
  1.2246121    0.3153397    22.51538    
  1.3741087    0.1952053    19.50211    
  1.9381972    0.6381216    23.15731    
  1.2122312    0.4966438    26.55683    
  1.1001199    0.4627126    28.79392    
  1.4586654    0.5621658    39.93121    
  1.8996348    0.5499278    8.98865    
  1.4268065    0.1318107    34.23379    
  1.7730131    0.6003472    5.54677    
  1.1798941    0.6069294    12.89675    
  0.8191308    0.4625098    25.66012    
  1.2612775    0.3411819    16.43336    
  1.4570993    0.2925783    16.57086    
  2.4488815    0.6098453    39.16935    
  1.4346278    0.1841580    21.10531    
  1.3212111    0.0748398    6.79042    
  1.7762659    0.3521263    31.58418    
  0.8293948    0.5583080    16.74650    
  2.3039261    0.4940412    3.75791    
  0.8764815    0.8949806    25.72207    
  1.2918037    0.7637702    31.10879    
  1.5980700    0.6348822    15.97224    
  1.7763777    0.4145230    60.69802    
  0.6618375    0.5329936    26.46194    
  1.8084921    0.3197514    25.44350    
  1.0042399    0.2931117    5.23841    
  2.5838138    0.6125832    11.17924    
  0.7577124    0.4767296    32.13772    
  2.1620636    0.8049394    25.72488    
  1.1413993    0.3613437    20.24058    
  1.1389858    0.3187431    2.16478    
  2.3572084    0.5677499    6.24430    
  2.1031595    0.6073231    11.88824    
  2.0893895    0.3814800    8.24872    
  2.1851905    0.5626863    18.67712    
  1.6188579    0.2876133    22.17947    
  1.0010705    0.2983457    21.50476    
  1.5733628    0.5316853    13.14982    
  2.1421995    0.5414634    25.27552    
  1.5361061    0.3440023    21.89128    
  1.1729139    0.7436698    18.34615    
  1.3496103    0.0816482    1.66164    
  1.8966271    0.3767470    72.15568    
  2.0731216    0.6776117    31.81905    
  1.1189484    0.2537864    12.84534    
  1.0343842    0.3334774    7.89910    
  1.8619380    0.3859391    46.99089    
  1.8858695    0.3273674    4.73347    
  1.8595982    0.4522312    26.06622    
  1.2596295    0.8412427    23.25080    
  1.8041672    0.7021009    22.36448    
